sample_id,true_pmi_days,ambient_temp_c,humidity_pct,accumulated_degree_days,sample_site,decomposition_stage
SAMP_0001,4.69,16.0,53.2,75.08,oral_cavity,Bloat
SAMP_0002,30.0,17.5,46.6,525.0,skin_surface,Advanced Decay
SAMP_0003,13.17,23.6,54.7,310.75,skin_surface,Active Decay
SAMP_0004,9.13,17.3,53.1,157.94,skin_surface,Active Decay
SAMP_0005,1.7,26.5,71.9,44.95,skin_surface,Bloat
SAMP_0006,1.7,21.7,87.7,36.8,oral_cavity,Bloat
SAMP_0007,0.6,22.3,74.3,13.34,skin_surface,Fresh
SAMP_0008,20.11,20.9,86.3,420.35,soil_interface,Advanced Decay
SAMP_0009,9.19,25.1,79.2,230.69,oral_cavity,Active Decay
SAMP_0010,12.31,25.1,76.4,309.04,oral_cavity,Active Decay
SAMP_0011,0.21,23.3,60.7,4.85,oral_cavity,Fresh
SAMP_0012,30.0,24.3,56.2,729.0,soil_interface,Dry Remains
SAMP_0013,17.86,21.2,82.3,378.72,skin_surface,Advanced Decay
SAMP_0014,2.39,24.2,85.3,57.76,soil_interface,Bloat
SAMP_0015,2.01,20.6,62.6,41.34,skin_surface,Bloat
SAMP_0016,2.03,22.0,40.5,44.57,skin_surface,Bloat
SAMP_0017,3.63,20.9,79.6,75.82,skin_surface,Bloat
SAMP_0018,7.44,20.2,54.3,150.27,oral_cavity,Active Decay
SAMP_0019,5.66,19.2,40.5,108.58,oral_cavity,Bloat
SAMP_0020,3.44,23.9,80.2,82.27,skin_surface,Bloat
SAMP_0021,9.46,27.2,65.9,257.41,oral_cavity,Active Decay
SAMP_0022,1.5,26.7,74.3,40.11,oral_cavity,Bloat
SAMP_0023,3.46,17.0,85.7,58.74,oral_cavity,Bloat
SAMP_0024,4.56,27.2,67.1,124.11,oral_cavity,Bloat
SAMP_0025,6.09,20.7,65.2,126.05,oral_cavity,Bloat
SAMP_0026,15.38,24.4,54.5,375.26,skin_surface,Advanced Decay
SAMP_0027,2.23,18.4,55.3,40.98,oral_cavity,Bloat
SAMP_0028,7.22,22.6,79.8,163.18,oral_cavity,Active Decay
SAMP_0029,8.98,23.3,62.5,209.12,oral_cavity,Active Decay
SAMP_0030,0.48,16.1,48.2,7.66,skin_surface,Fresh
SAMP_0031,9.35,24.4,44.7,228.22,skin_surface,Active Decay
SAMP_0032,1.87,27.4,63.6,51.23,soil_interface,Bloat
SAMP_0033,0.67,21.3,63.2,14.33,soil_interface,Fresh
SAMP_0034,29.74,27.4,72.7,814.79,oral_cavity,Dry Remains
SAMP_0035,30.0,21.2,63.6,636.0,oral_cavity,Dry Remains
SAMP_0036,16.52,25.4,47.2,419.69,oral_cavity,Advanced Decay
SAMP_0037,3.63,13.1,65.4,47.59,soil_interface,Bloat
SAMP_0038,1.03,31.7,85.3,32.58,skin_surface,Fresh
SAMP_0039,11.53,28.0,48.0,322.77,oral_cavity,Active Decay
SAMP_0040,5.8,20.9,74.5,121.24,oral_cavity,Bloat
SAMP_0041,1.3,14.1,69.7,18.35,skin_surface,Fresh
SAMP_0042,6.84,23.2,77.4,158.58,oral_cavity,Active Decay
SAMP_0043,0.35,16.2,47.5,5.67,soil_interface,Fresh
SAMP_0044,24.0,23.8,87.1,571.3,skin_surface,Advanced Decay
SAMP_0045,2.99,23.6,71.0,70.67,skin_surface,Bloat
SAMP_0046,10.86,18.2,82.4,197.7,skin_surface,Active Decay
SAMP_0047,3.74,26.5,52.3,98.99,oral_cavity,Bloat
