sample_id,Staphylococcus_epidermidis,Streptococcus_oralis,Corynebacterium_striatum,Cutibacterium_acnes,Rothia_dentocariosa,Neisseria_sicca,Micrococcus_luteus,Streptococcus_mitis,Haemophilus_parainfluenzae,Lactobacillus_gasseri,Clostridium_perfringens,Clostridium_difficile,Bacteroides_fragilis,Parvimonas_micra,Peptostreptococcus_anaerobius,Escherichia_coli,Klebsiella_pneumoniae,Proteus_mirabilis,Morganella_morganii,Enterococcus_faecalis,Wohlfahrtiimonas_chitiniclastica,Ignatzschineria_larvae,Fusobacterium_nucleatum,Prevotella_melaninogenica,Acinetobacter_baumannii,Pseudomonas_fluorescens,Pseudomonas_putida,Bacillus_subtilis,Bacillus_cereus,Flavobacterium_succinicans,Sphingobacterium_multivorum,Chryseobacterium_gleum,Streptomyces_albus,Nocardia_asteroides,Planococcus_halocryophilus,Pedobacter_heparinus,Cellulomonas_flavigena,Arthrobacter_globiformis,Burkholderia_cepacia,Rhizobium_radiobacter,Brevibacterium_casei,Corynebacterium_jeikeium,Streptococcus_constellatus,Propionibacterium_avidum,Serratia_marcescens,Staphylococcus_aureus,Treponema_denticola,Campylobacter_rectus,Filifactor_alocis,Prevotella_intermedia
SAMP_0001,463,334,600,425,136,90,202,115,33,85,1557,1802,1520,500,949,1655,996,817,732,1195,356,698,926,809,60,24,17,28,35,6,4,2,2,1,0,2,1,1,3,0,719,864,530,443,0,24,0,0,0,0
SAMP_0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1822,2554,1465,759,1310,1530,1195,1017,917,638,722,625,540,439,442,398,343,634,420,531,0,0,0,0,0,0
SAMP_0003,0,0,0,0,0,0,0,0,0,0,108,860,407,16,71,29,12,785,745,162,1477,2663,0,4,3039,2759,1686,1912,1673,746,732,384,464,151,409,757,70,256,435,32,682,1307,849,876,0,187,0,0,0,0
SAMP_0004,12,6,30,11,0,3,5,2,0,3,5616,2955,3579,1762,2263,1412,935,3115,3268,2599,1250,3594,471,1114,539,270,139,245,376,46,62,30,14,11,30,52,10,21,72,4,1128,1019,591,557,0,0,0,0,0,0
SAMP_0005,1742,982,1437,1292,854,544,621,887,255,372,1440,765,293,496,391,1146,437,276,115,493,97,184,548,356,28,4,6,10,16,1,2,1,0,1,0,0,0,2,0,0,422,710,788,486,0,0,0,0,0,0
SAMP_0006,4439,2580,3625,3231,875,987,1028,1493,495,862,3886,570,658,450,619,1218,1035,525,223,909,259,578,843,671,64,19,9,21,19,8,3,3,3,0,2,6,1,0,6,0,1729,1653,918,894,0,0,0,0,0,0
SAMP_0007,1522,814,1167,567,626,264,477,493,301,347,685,329,55,84,49,280,89,38,73,127,35,52,132,148,9,5,3,3,6,1,1,1,0,0,0,0,0,1,1,0,405,418,256,287,0,0,0,0,0,0
SAMP_0008,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,157,25,0,0,2359,1956,2250,1356,1500,1768,1565,944,916,496,592,932,332,942,685,298,617,509,394,441,0,0,0,0,0,0
SAMP_0009,3,0,5,3,0,0,0,0,0,0,1856,2599,1500,591,1582,720,256,1878,2611,1566,3578,3239,63,219,1326,663,425,897,896,136,117,64,51,6,61,116,7,61,132,3,1017,747,530,652,0,113,0,0,0,0
SAMP_0010,0,0,0,0,0,0,0,0,0,0,168,565,428,21,68,47,11,772,828,173,1485,1753,0,13,3051,2344,1489,1546,1542,658,350,196,207,167,304,491,39,245,339,47,1007,839,503,1385,0,0,0,0,0,0
